player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Min Jae Kim,South Korea,2,0,187,525,1,4
Mislav Oršić,Croatia,10,2,55,234,3,0
Mitchell Thomas Duke,Australia,7,1,68,346,2,2
Mohamed Dräger,Tunisia,4,0,51,177,4,3
Mohamed Salisu,Ghana,2,1,149,413,0,3
Mohammed Al Burayk,Saudi Arabia,2,0,48,149,1,1
Mohammed Kanoo,Saudi Arabia,6,0,145,492,8,2
Mohammed Khalil Al Owais,Saudi Arabia,0,0,98,197,0,0
Mohammed Kudus,Ghana,8,2,82,417,15,1
Mohammed Muntari,Qatar,3,1,19,95,0,0
Moisés Isaac Caicedo Corozo,Ecuador,3,1,154,475,1,2
Montassar Omar Talbi,Tunisia,1,0,133,408,1,3
Moon-Hwan Kim,South Korea,0,0,242,672,3,9
Morteza Pouraliganji,Iran,2,0,128,333,0,8
Munir Mohand Mohamedi,Morocco,0,0,27,53,0,0
Nader Ghandri,Tunisia,0,0,30,97,0,1
Nahuel Molina Lucero,Argentina,2,1,360,986,3,9
Nampalys Mendy,Senegal,2,0,162,483,3,1
Nathan Aké,Netherlands,0,0,352,1032,0,10
Nathaniel Atkinson,Australia,0,0,37,101,1,1
Nawaf Shaker Al Abid,Saudi Arabia,2,0,38,175,3,1
Nayef Aguerd,Morocco,1,0,154,432,0,4
Naïm Sliti,Tunisia,1,0,50,180,6,1
Neco Williams,Wales,3,0,97,328,7,4
Nemanja Gudelj,Serbia,0,0,55,162,0,1
Nemanja Maksimović,Serbia,0,0,57,184,0,2
Nemanja Radonjić,Serbia,2,0,23,92,2,0
Neymar da Silva Santos Junior,Brazil,12,2,156,608,21,0
Ngoran Suiru Fai Collins,Cameroon,1,0,152,380,0,7
Nicholas Williams Arthuer,Spain,0,0,62,298,13,1
Niclas Füllkrug,Germany,8,2,25,88,1,0
Nico Elvedi,Switzerland,1,0,141,415,0,3
Nico Schlotterbeck,Germany,0,0,123,337,2,2
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,3,0,93,296,1,3
Nicolas Moumi Ngamaleu,Cameroon,0,0,24,138,3,1
Nicolás Alejandro Tagliafico,Argentina,3,0,182,550,3,4
Nicolás Hernán Otamendi,Argentina,1,0,565,1639,0,10
Niklas Süle,Germany,1,0,252,696,0,1
Nikola Milenković,Serbia,3,0,157,455,0,6
Nikola Vlašić,Croatia,7,2,55,290,4,0
Noah Okafor,Switzerland,1,0,21,102,0,0
Nouhou Tolo,Cameroon,0,0,106,308,2,9
Noussair Mazraoui,Morocco,4,0,121,414,2,1
Nuno Mendes,Portugal,0,0,34,96,2,1
Néstor Alejandro Araújo Razo,Mexico,0,0,56,144,0,2
Olivier Giroud,France,17,4,75,354,0,1
Orbelín Pineda Alvarado,Mexico,4,0,26,146,1,1
Osman Bukari,Ghana,3,1,21,100,2,1
Otávio Edmilson da Silva Monteiro,Portugal,3,0,131,427,2,0
Ousmane Dembélé,France,8,0,191,752,18,3
Pablo Martín Páez Gavira,Spain,1,1,153,605,7,0
Pape Abou Cissé,Senegal,0,0,38,121,1,1
Pape Gueye,Senegal,4,0,61,203,2,1
Pape Matar Sarr,Senegal,4,0,47,130,1,1
Pathé Ismaël Ciss,Senegal,1,0,60,211,2,1
Pau Francisco Torres,Spain,0,0,190,530,0,2
Pedro González López,Spain,0,0,426,1345,10,6
Pedro Guilherme Abreu dos Santos,Brazil,5,1,15,88,1,1
Pedro Miguel Correia,Qatar,2,0,115,350,3,6
Pervis Josué Estupiñán Tenorio,Ecuador,2,0,187,543,8,5
Phil Foden,England,5,1,57,201,2,0
